username	first_date	total_chars	total_words	color
Casey Greene	2016-10-13T13:49:34Z	80044	11152	#A6CEE3
Anthony Gitter	2016-10-24T20:32:10Z	80340	9793	#80B6D6
Gregory Way	2016-10-25T00:59:55Z	8809	1143	#5B9EC9
Travers Ching	2016-10-27T02:12:23Z	9607	1207	#3687BC
Evan Cofer	2016-11-19T00:32:03Z	5975	641	#2D82AF
Brett Beaulieu-Jones	2016-12-22T04:29:23Z	11525	1379	#569EA4
Stephen Woloszynek	2017-01-09T14:56:25Z	2760	350	#7EBA98
Wei Xie	2017-01-09T23:06:14Z	5610	796	#A6D78D
Gail Rosen	2017-01-13T16:46:50Z	10474	1321	#98D277
Anne Carpenter	2017-01-13T21:12:24Z	4876	630	#75C15D
S. Joshua Swamidass	2017-01-24T18:42:01Z	6791	950	#52AF43
Daniel Himmelstein	2017-02-17T20:36:23Z	27990	2238	#389F2E
Jinbo Xu	2017-04-07T14:24:39Z	9612	1235	#6F9E4C
Brian Do	2017-04-08T11:33:15Z	25476	3362	#A69C6A
Jack Lanchantin	2017-04-10T10:47:45Z	20189	2736	#DD9A88
Ben Lengerich	2017-04-15T19:14:08Z	9994	1263	#F88A89
Alexandr Kalinin	2017-04-21T18:29:50Z	25685	3257	#F16667
Paul Agapow	2017-04-24T12:51:51Z	15981	2139	#EA4344
Enrico Ferrero	2017-04-24T16:20:02Z	8730	1122	#E42022
David DeCaprio	2017-04-25T10:42:08Z	2282	312	#E83F2E
Yifan Peng	2017-05-08T20:41:33Z	4692	571	#F06C45
David J. Harris	2017-05-09T16:45:08Z	3893	485	#F7995C
Av Shrikumar	2017-05-15T14:11:59Z	17731	2442	#FDBB69
Aaron Sheldon	2017-05-16T03:27:41Z	545	73	#FDAA4A
Marwin Segler	2017-05-16T04:18:53Z	2886	337	#FE982C
Johnny Israeli	2017-05-17T04:07:24Z	4821	715	#FE870D
Laura K Wiley	2017-05-23T12:05:13Z	1134	151	#F78620
Austin Huang	2017-07-05T15:30:39Z	3565	464	#E8945A
Ruibang Luo	2017-07-06T13:37:23Z	100	13	#D9A295
David Slochower	2017-07-07T19:20:23Z	1373	143	#CBB0D0
Venkat Malladi	2017-07-13T20:46:03Z	435	25	#B294C7
Simina M. Boca	2017-08-04T16:04:23Z	5307	754	#9774B6
Michael Hoffman	2017-08-09T19:07:19Z	10680	1232	#7D54A5
Zhiyong Lu	2017-12-15T17:05:53Z	7497	959	#754B99
Yanjun Qi	2017-12-19T18:14:54Z	1383	177	#9E8099
Christopher Lavender	2017-12-19T20:57:08Z	2378	279	#C7B699
Michael Zietz	2018-01-04T12:36:10Z	9758	1319	#F0EB99
Amr Alexandari	2018-01-13T12:24:06Z	8347	1093	#F1E185
Srini Turaga	2018-01-13T12:38:42Z	2315	301	#DBB466
Sebastian Raschka	2018-03-05T12:17:21Z	1359	178	#C68647
Stephen Ra	2018-03-05T21:03:54Z	322	38	#B15928
