name	rename_to
Brett	Brett Beaulieu-Jones
traversc	Travers Ching
sw1	Stephen Woloszynek
gailrosen	Gail Rosen
j3xugit	Jinbo Xu
mrwns	Marwin Segler
avctrh	Austin Huang
aquaskyline	Ruibang Luo
Paul-Michael Agapow	Paul Agapow
Greg Way	Gregory Way
lavenderca	Christopher Lavender
Amr	Amr Alexandari
swamidass	S. Joshua Swamidass
